"Case#","Date","Time","Description","Location","Date_Time","Notes","Hour","Minute","Year","Time_Numeric","Type"
"220439","2022 11 23","0105","Suspicious Person/Activity/Circumstances","Griffin",2022-11-23 01:05:00,"Notes: A CSO responded to a report of the odor of gasoline near Griffin residence hall. Upon investigating the area, the CSO observed a vehicle in the north lot with containers beneath a vehicle catching gas dripping from what was apparently a leak in the fuel system. ",1,5,2022,1.08333333333333,"Incident"
"220440","2022 11 23","1454","Evidence of Drug Use","Chinese House",2022-11-23 14:54:00,"Notes: A CSO responded to a report of the odor of cannabis on the first floor of the Chinese house. The CSO was unable to locate the source of the odor but while investigating did encounter an open furnace vent. A work order was put in to repair the furnace vent door.",14,54,2022,14.9,"Incident"
"220441","2022 11 26","1951","Information Only","Prexy",2022-11-26 19:51:00,"Notes: A CSO on patrol encountered a Portland Police officer standing outside of Prexy. Upon conversing with the officer, the CSO learned that the officer was meeting with a Reed student who wished to report fraud. The CSO remained on scene and took a report as well. The student reported that they had wired money to an unknown individual claiming to be an authority. At some point, the student realized that the individual claiming to be an authority was scamming them. They then reported this to the Portland Police. The CSO is connecting the student to available resources on campus for any aid that can be offered.",19,51,2022,19.85,"Incident"
"220442","2022 11 26","2313","Medical Assist - Drugs","Residence Hall",2022-11-26 23:13:00,"Notes: CSOs responded to a request for medical assistance at a residence hall. Upon arrival they met with four students, one of whom had consumed multiple types of drugs and required medical attention. After a brief assessment it was determined that the student required medical intervention and CSOs requested American Medical Response (AMR) be contacted. The student was transported to a nearby medical facility for further care. ",23,13,2022,23.2166666666667,"Incident"
"220424","2022 11 14","1210","Theft - Other","McKinley",2022-11-14 12:10:00,"Notes: A CSO responded to McKinley residence hall to take a theft report. The CSO met with a student who reported that they had left their backpack, containing their laptop and some books, in the upper common room overnight and when they returned to retrieve it, it was gone. The student stated that they had asked other dorm residents if they had seen it and none had.",12,10,2022,12.1666666666667,"Incident"
"220425","2022 11 15","0832","Trespass","GCC Commons",2022-11-15 08:32:00,"Notes: A CSO responded to a report of an individual stealing food from Commons. When the CSO arrived, they encountered a known excluded individual eating the food. The CSO escorted the individual off of campus without incident.",8,32,2022,8.53333333333333,"Incident"
"220426","2022 11 16","0753","Trespass","GCC Commons",2022-11-16 07:53:00,"Notes: A CSO responded to a report of an individual stealing food from Commons. When the CSO arrived, they encountered the same excluded individual from the morning prior. The CSO told the individual that they needed to leave. The individual proceeded to the Student Union to collect their belongings. The CSO observed as the individual put their items into a bag to leave and then escorted the individual off campus. ",7,53,2022,7.88333333333333,"Incident"
"220429","2022 11 16","1605","Damage to Property/Theft from Vehicle","Grove Lot",2022-11-16 16:05:00,"Notes: A CSO on patrol in the Grove Lot encountered a vehicle that had its passenger window shattered. Upon closer inspection, the CSO observed that the glove compartment had been left open and appeared to have been searched through. The vehicle is registered with Community Safety so the vehicle owner was contacted regarding the damage and possible theft.",16,5,2022,16.0833333333333,"Incident"
"220430","2022 11 17","1524","Graffiti","Griffin",2022-11-17 15:24:00,"Notes: A CSO on patrol encountered new graffiti on the west exterior side of Griffin residence hall. Building services was contacted for graffiti removal.",15,24,2022,15.4,"Incident"
"220431","2022 11 18","0256","Disorderly Conduct","Naito",2022-11-18 02:56:00,"Notes: A CSO responded to a report of glass being broken outside of Naito residence hall. Upon arrival, the CSO observed broken glass along the pathway south of Naito Hall. While inspecting the damage, the CSO observed two individuals exiting Sullivan hall holding glass bottles. Upon seeing the CSO, the two individuals immediately turned around to re-enter the building. The CSO entered the building behind the individuals and saw a total of five individuals in the hallway attempting to hide glass bottles. Upon speaking with the individuals, all confirmed to be students, the actions were initially denied. However, one of the students then stated that they were attempting to “blow off steam” after a rough day. The students apologized for the mess and potential danger they had put their fellow students in and cleaned up the glass to the best of their abilities. ",2,56,2022,2.93333333333333,"Incident"
"220432","2022 11 18","1355","Exclusion","Amphitheater",2022-11-18 13:55:00,"Notes: A CSO on patrol near the amphitheater encountered an individual with a dog that was unleashed. The CSO requested the individual leash their dog, at which time the individual, without acknowledging the CSO, got up and began walking north, away from them. The CSO reiterated that they were a Community Safety officer and that the individual was on private property. The individual turned around and told the CSO to stop following them. The CSO explained that the individual would be excluded from campus if they did not leash their dog. The individual again told the CSO to stop following them and that if they did not, the individual would tase them. At this time the CSO stated that the individual was excluded from Reed property and that if the individual tased the CSO, the CSO would file charges against them. The CSO explained the reason for the leash policy and also provided information regarding the off-leash dog areas. The individual continued walking north. Per the Community Safety directive regarding excluding individuals, the CSO took a picture of the individual and stated so, and also stated that the photo would be shared with the other CSOs and that should the individual be seen again on campus Portland Police would be contacted. The individual told the CSO to call the police right then, so the CSO requested that the Dispatcher contact Portland Police. The individual continued walking northward, with the CSO following. The individual then stated that they did not want to see the CSO again. When the CSO asked if the individual was threatening the safety of the CSO, the individual confirmed it. The individual continued walking northward until they were off of Reed property. The CSO requested Dispatch cancel the Portland Police response and then continued on their patrols.",13,55,2022,13.9166666666667,"Incident"
"220433","2022 11 18","2054","Graffiti","Old Dorm Block",2022-11-18 20:54:00,"Notes: A CSO on patrol encountered new graffiti written on an exterior wall inside the ODB Sallyport. Building services has been contacted for graffiti removal.",20,54,2022,20.9,"Incident"
"220435","2022 11 18","2239","Theft - Bike","West Lot",2022-11-18 22:39:00,"Notes: A CSO responded to a report of a bike theft from the West Lot. The CSO met with the bike owner, a relative of a community member, who reported that their bike was stolen from off of their truck while it was parked in the West Lot. The individual stated that their vehicle’s security system had captured the theft on video and they would forward that to Community Safety. The CSO suggested the individual file a report with the Portland Police also. The bike is a Cannondale Topstone bike.",22,39,2022,22.65,"Incident"
"220415","2022 11 07","1414","Theft from Vehicle","West Lot",2022-11-07 14:14:00,"Notes: A CSO responded to a vehicle break-in reported in the West Lot. The CSO met with the vehicle owner who reported that when they had returned to their vehicle that day, they found the passenger window had been smashed and some money and documents had been stolen. The CSO sympathized with the owner and also recommended they file a police report with the Portland Police.",14,14,2022,14.2333333333333,"Incident"
"220416","2022 11 07","1500","Fire","ETC",2022-11-07 15:00:00,"Notes: A CSO responded to an active fire alarm in the ETC. When the CSO arrived in the room which had caused the alarm to activate, they encountered hazy smoke and the odor of burning plastic. The CSO was unable to immediately identify the source of the smoke and odor and requested that Portland Fire and Rescue be contacted for assistance. Portland Fire and Rescue arrived and eventually cleared the building for re-entry, having not found any active fire or potential threat of fire in the building.",15,0,2022,15,"Incident"
"220417","2022 11 07","1932","Theft from Vehicle","West Lot",2022-11-07 19:32:00,"Notes: A CSO responded to a report of a vehicle break-in in the West Lot. The CSO met the vehicle owner in the West Lot and observed that the vehicle had its passenger window smashed. The vehicle owner reported that vehicle related documents had been stolen from the glove compartment. Based on the similarities of this vehicle break in and those of the report received earlier in the day, and the timing of both, the CSO concluded that most likely both vehicles had been broken into during the same event. ",19,32,2022,19.5333333333333,"Incident"
"220418","2022 11 08","1543","Found Property","Woodbridge",2022-11-08 15:43:00,"Notes: A CSO on patrol near Woodbridge encountered a bike parked at the bike rack but not secured. Upon questioning students in the area, the CSO learned that the bike had been parked there for approximately two weeks and no one had claimed ownership of it. The CSO moved the bike to the Community Safety secure bike storage area for safe keeping. ",15,43,2022,15.7166666666667,"Incident"
"220420","2022 11 09","0124","Medical Assist - Other","Residence Hall",2022-11-09 01:24:00,"Notes: A CSO responded to a request for medical assistance in a residence hall. Upon arrival, the CSO met with a student who was worried about possible negative effects from having accidentally taken two contraindicated medications within a short period of time. The student’s condition deteriorated while the CSO was assessing them so the CSO requested American Medical Response assistance. Paramedics arrived and assessed the student, concluding that no medical intervention would be necessary. All units cleared from the scene and the CSO requested the student contact Community Safety again if they felt the need to do so.",1,24,2022,1.4,"Incident"
"220421","2022 11 10","1212","No Contact Order","Campus",2022-11-10 12:12:00,"Notes: A No Contact Order was put in place between two Reed community members at the request of the Title IX Coordinator.",12,12,2022,12.2,"Incident"
"220422","2022 11 10","2256","No Contact Order Violation","Campus",2022-11-10 22:56:00,"Notes: A CSO responded to a request for assistance regarding a No Contact Order violation. The CSO arrived and spoke with both parties involved. One of the parties left and the CSO resumed their normal patrol duties.",22,56,2022,22.9333333333333,"Incident"
"220423","2022 11 13","0139","Alcohol Violation","GCC/Pool Hall",2022-11-13 01:39:00,"Notes: A CSO on patrol in the GCC near the pool hall encountered a student holding what appeared to be a container of alcohol. The CSO observed that the student, upon seeing the CSO, made motions as if to hide the alcohol container. The CSO approached the student and requested that they verify their age. Initially, the student stated that they were of legal drinking age, however an age verification confirmed otherwise. The student apologized for providing incorrect information, and the CSO disposed of the alcohol then continued on their patrol. ",1,39,2022,1.65,"Incident"
"220404","2022 10 31","1108","Suspicious Person/Activity/Circumstances/Exclusion","Chittick",2022-10-31 11:08:00,"Notes: A CSO responded to an unauthorized individual in Chittick residence hall. Upon arrival, the CSO encountered an unknown person charging their laptop in the Chittick common room. When the CSO requested the person gather their belongings to leave, the person replied that they were a guest of a student and began asking students in the area if they would let the person stay with them. When no students intervened, the individual gathered their belongings and allowed the CSO to escort them out of the building. The CSO formally excluded the individual from Reed campus and resumed their patrol duties. ",11,8,2022,11.1333333333333,"Incident"
"220406","2022 11 01","0733","Trespass","GCC",2022-11-01 07:33:00,"Notes: A CSO performing morning unlocks encountered an unknown individual in the lower level of the GCC. After a short conversation, the CSO confirmed that the unknown individual was the same individual that had been found in a residence hall, and consequently excluded from the Reed campus, the day before. Another CSO arrived on scene to assist in escorting the individual off of campus. Once the individual had left Reed property, they crossed Woodstock Blvd. and began knocking on private residence doors and attempting to turn the door knobs. CSOs then requested Dispatch notify Portland Police of the individual’s whereabouts and activity. The individual left the immediate area before Portland Police arrived and the CSOs resumed their patrol duties.",7,33,2022,7.55,"Incident"
"220407","2022 11 01","1243","Information Only","Campus",2022-11-01 12:43:00,"Notes: The director of Community Safety filed abandoned vehicle reports with the Portland Police Bureau for seven vehicles parked alongside the north side of Reed campus. ",12,43,2022,12.7166666666667,"Incident"
"220408","2022 11 01","1430","Trespass","Canyon",2022-11-01 14:30:00,"Notes: CSOs on vehicle patrol encountered the excluded individual that other CSOs had recently had interaction with. The CSOs again informed the individual that they were excluded from Reed campus and escorted the excluded individual off of campus.",14,30,2022,14.5,"Incident"
"220409","2022 11 02","0800","Theft - Other / Trespass","GCC/Commons",2022-11-02 08:00:00,"Notes: A CSO on patrol in GCC encountered the previously reported excluded individual in Commons and observed that the individual was in the process of stealing food. The CSO requested Dispatch contact Portland Police and approached the individual. The CSO informed the individual that they were criminally trespassing and that the Portland Police had been requested. A second CSO arrived to provide back up. The individual proceeded to act in a defensive manner so the CSOs kept their distance while escorting the individual out of the building and off of campus. Once off of campus the individual began to throw property off of the neighborhood porches, attempting to hit the CS vehicle with said property. No damage was done and the CSOs cleared from the call. ",8,0,2022,8,"Incident"
"220410","2022 11 02","1119","Student Concern","Administrative Building",2022-11-02 11:19:00,"Notes: A CSO responded to a report of concern for a student when a community member heard screaming from inside a restroom of an administrative building. Upon arrival, the CSO encountered a student engaged in conversation with two Reed faculty members. The CSO asked the student if they wanted an escort to the HCC for further care and assistance, and the student accepted the offer. Another CSO arrived with a vehicle to escort the student to the HCC, and the first CSO cleared from the call.",11,19,2022,11.3166666666667,"Incident"
"220411","2022 11 02","1356","Theft - Bike","GCC/Commons",2022-11-02 13:56:00,"Notes: Dispatch received an emailed report of bike theft from a student. The student reported that their bike had been secured to the bike rack outside of Commons on the evening of October 30 and when they returned to retrieve it on October 31 the bike locks had been cut and left on the ground, and the bike was missing. The bike is white a 2019 Heybike Cityscape with a saddlebag attached to the left rear side.",13,56,2022,13.9333333333333,"Incident"
"220412","2022 11 03","1137","Theft from Vehicle","East Lot",2022-11-03 11:37:00,"Notes: A student reported to the CS Dispatcher that their vehicle had been broken into while parked in the East Lot, and multiple personal belongings were missing. The student did not note any damage to the vehicle but among the items missing were a laptop, backpack, skateboard, and three jackets. The Dispatcher sympathized with the student and encouraged them to also file a police report.",11,37,2022,11.6166666666667,"Incident"
"220413","2022 11 03","1948","Alcohol or Drug Related Incident","28 West",2022-11-03 19:48:00,"Notes: This report is incomplete at this time.",19,48,2022,19.8,"Incident"
"220414","2022 11 06","1225","Medical Transport - Other","PAB",2022-11-06 12:25:00,"Notes: A CSO responded to a report of an injury on campus. When the CSO arrived American Medical Response was also arriving on scene and had been in contact with the injured party. The CSO remained on scene while paramedics prepared the injured party for transport to a nearby medical facility. ",12,25,2022,12.4166666666667,"Incident"
"220393","2022 10 25","1029","Medical Assist - Other","Administrative building",2022-10-25 10:29:00,"Notes: A CSO responded to a request for medical assistance in an administrative building. Upon arrival, the CSO met with a Reed staff member who was with a student that was possibly experiencing a medical emergency. The student was awake and alert but feeling unwell. After conversing with the student for a bit the CSO escorted the student to the HCC for further evaluation and care.",10,29,2022,10.4833333333333,"Incident"
"220394","2022 10 26","1150","Theft of Motor Vehicle","West Lot",2022-10-26 11:50:00,"Notes: Dispatch received a report from a Reed staff member that another Reed staff member’s vehicle had been stolen from the West Lot the night before. The Portland Police had been called at the time of the discovery. ",11,50,2022,11.8333333333333,"Incident"
"220395","2022 10 26","1153","Theft - Bike Parts / Theft - Other","GCC/Commons",2022-10-26 11:53:00,"Notes: A Reed staff member arrived at 28 West to report that their backpack had been stolen from their work locker in Commons the night before. The staff member reported that their backpack contained approximately $500 in rain and biking gear. The staff member also stated that they believed whoever stole their backpack had at the same time also stolen the other Reed staff member’s keys from their locker and then stolen their vehicle the night before, as both theft occurrences appeared to have happened within the same couple of hours. The staff member expressed their desire for there to be video cameras installed in the parking lots.",11,53,2022,11.8833333333333,"Incident"
"220396","2022 10 26","2126","Noise Complaint","Naito Hall",2022-10-26 21:26:00,"Notes: A CSO responding to a noise complaint in Naito Hall encountered loud music when entering the area about which the complaint had been made. The CSO attempted to make contact with the occupant of the room from which the noise was emanating. No response was received, but the music stopped. The CSO cleared the call and resumed their normal patrol duties.",21,26,2022,21.4333333333333,"Incident"
"220397","2022 10 26","2301","Student Concern","Campus",2022-10-26 23:01:00,"Notes: A CSO responded to a report of a student possibly experiencing emotional distress on the south side of campus. The CSO had already encountered the individual they believed to be the subject of the report and had been waived off when they had attempted to approach them. The CSO circled back around to again approach the student and found a faculty member sitting with the student. After a brief conversation with the faculty member and student, the CSO departed, but left a pink resource card with the student in case it was needed.",23,1,2022,23.0166666666667,"Incident"
"220398","2022 10 27","1739","Suspicious Person/Activity/Circumstances/Burglary ","Birchwood Apartments",2022-10-27 17:39:00,"Notes: A CSO responded to a report of an attempted burglary at the Birchwood apartments. The CSO spoke with the residents of the apartment, who reported that the small metal screw-in window stopper had been moved from the kitchen window frame. The residents had also observed unrepairable damage done to their window screen. They stated that it did not appear as if the apartment had been successfully entered as there had also been a stopper bar placed in the window that was still in place and no items appeared to be missing from the unit. ",17,39,2022,17.65,"Incident"
"220400","2022 10 28","1446","Theft from Vehicle","North Lot",2022-10-28 14:46:00,"Notes: A CSO responded to a report of a vehicle break-in in the North Lot. The CSO met with the vehicle owner and observed that the front passenger window of the vehicle had been shattered. The vehicle owner stated that nothing had been taken to their knowledge. The CSO recommended that the vehicle owner contact their insurance agent and the Portland Police to report the damage. The CSO helped to secure a large plastic trash bag over the open window to protect the vehicle’s interior from the elements then resumed their normal patrol duties. ",14,46,2022,14.7666666666667,"Incident"
"220401","2022 10 29","0148","Medical Assist - Alcohol","Residence Hall",2022-10-29 01:48:00,"Notes: A CSO responded to a request for assistance related to alcohol ingestion. Upon arrival, the CSO met with a student who was feeling unwell after ingesting alcohol. After assessing and conversing with the student for a bit, it was determined that the student was not exhibiting any signs or symptoms of alcohol or other drug overdose. The CSO cleared from the call, leaving the student in the company of their friends, some yellow resource cards, and instructions to contact Community Safety again if any further assistance was needed. ",1,48,2022,1.8,"Incident"
"220402","2022 10 30","1244","Theft - Bike","Sequoia",2022-10-30 12:44:00,"Notes: A CSO responded to a report of a bike theft outside of Sequoia. The CSO met with the bike owner who stated that they had only just purchased the bike the day before and had left it secured outside at the bike rack. They had returned that day to find a broken lock and no bike. The CSO sympathized with the loss. The bike is described as a black Giant band mountain bike. ",12,44,2022,12.7333333333333,"Incident"
"220403","2022 10 30","1715","Medical Assist - Other","Academic building",2022-10-30 17:15:00,"Notes: A CSO responded to a request for medical assistance at an academic building. The CSO arrived to find multiple individuals assisting another individual with a wound they had received. The CSO provided first aid supplies to those already providing assistance, and was informed that 911 had been contacted and American Medical Response was enroute to provide assistance. The CSO learned from those in the area that the individual had been exiting the building when they tripped and fell into the door frame, causing the wound. The CSO cleared the scene once the individual had been safely loaded into the ambulance for transport. ",17,15,2022,17.25,"Incident"
"220387","2022 10 17","0103","Noise Complaint","Reed College Apartments (RCA)",2022-10-17 01:03:00,"Notes: A CSO responded to a noise complaint at the RCAs. The CSO spoke with the complainant and the occupant making the noise and resumed their patrol duties. ",1,3,2022,1.05,"Incident"
"220389","2022 10 19","0034","Alcohol Violation","Quad",2022-10-19 00:34:00,"Notes: CSOs on patrol in the Quad encountered four students sitting at a picnic table. As the CSOs neared the students, one of the students attempted to hide what appeared to be a bottle of wine. The CSOs approached the students and requested age confirmations. One of the students confirmed that they were of legal drinking age by presenting their student ID card. Two other students initially stated that they were of legal drinking age but their ID cards showed otherwise. Before either CSO had an opportunity to ask for their ID, the fourth student excused themself to the restroom and did not return.",0,34,2022,0.566666666666667,"Incident"
"220390","2022 10 20","1142","Information Only","28 West",2022-10-20 11:42:00,"Notes: Dispatch received an email from a student detailing some concerning texts they had received. Director Granger followed up with the student.",11,42,2022,11.7,"Incident"
"220391","2022 10 21","2354","Alcohol Violation","GCC/Pool Hall",2022-10-21 23:54:00,"Notes: A CSO responded to a request for assistance with a stuck door at the pool hall. While there, the CSO encountered a student holding what appeared to be a can of alcohol. The CSO observed the student attempt to hide the can, so the CSO requested the student verify that they were of legal drinking age. While the student was searching their pockets for their ID card, the CSO assisted some other students with pool ball trays. When the CSO turned their attention back to the student searching for their ID, the CSO noted that that student had left the area. The CSO then exited the pool hall to perform an unlock for another student. After completing the unlock, the CSO returned to the pool hall where they again encountered the same student who had been holding the can of alcohol. At this time, the student presented their ID card which confirmed that they were not of legal drinking age.   ",23,54,2022,23.9,"Incident"
"220392","2022 10 23","2157","Damage to Property","West Lot",2022-10-23 21:57:00,"Notes: A CSO on patrol in the West Lot was flagged down by a Reed student. The student stated that their vehicle had been broken into and led the CSO to their parked vehicle. The CSO observed broken glass on the ground near the vehicle and noted that the rear passenger window had been smashed out. The student stated that they had observed an unknown individual walking away from their vehicle toward a van parked nearby. The student approached their vehicle and noted that their window had been smashed. The student stated that nothing was missing from the vehicle to their knowledge. The CSO sympathized with the student and recommended the student also file a police report online. ",21,57,2022,21.95,"Incident"
