"Case#","Date","Time","Description","Location","Date_Time","Notes"
"230076","2023 02 20","2030","Damage to Property","Grove Lot",1676925000,"Notes: A student arrived at 28 West to report that there had been an unsuccessful attempt to steal the license plate off of their vehicle. The student had installed anti-theft bolts, which showed signs of tampering. Additionally, the license plate was bent from an attempt to forcibly remove it from the vehicle."
"230077","2023 02 21","1627","Damage to Property/Theft of Motor Vehicle/Clery Act Reportable Incident","East Lot",1676996820,"Notes: A CSO responded to a report of a vehicle break-in in the East Lot. The CSO met with the vehicle owner who stated that they had returned to their vehicle to find that the ignition switch had been removed from the vehicle. The CSO encouraged the owner to report the damage to the Portland Police. Approximately six hours later, another CSO checking on the vehicle observed that the driver’s side door lock had been drilled out. This matched a pattern seen in prior situations in which after the door lock was removed, the vehicle was stolen. Dispatch contacted the vehicle owner and recommended that they remove the vehicle’s battery so that the vehicle could not be stolen before the owner had a chance to have it towed away for repairs. The vehicle owner did so."
"230078","2023 02 22","1351","Damage to Property","East Lot",1677073860,"Notes: A CSO on patrol encountered a vehicle with a shattered rear driver’s side window. The doors were locked and there appeared to be no other damage or signs of tampering."
"230079","2023 02 25","2322"," – ","GCC",1677367320,"Notes: This report is incomplete at this time."
"230061","2023 02 13","2116","Information Only","Campus",1676322960,"Notes: A student reported unwanted contact by a Reed alum. The director of Community Safety is following up on this report."
"230062","2023 02 14","0004","Information Only","Trillium",1676333040,"Notes: CSOs responded to an audible fire alarm in the Trillium residence hall. After a thorough search they determined that no signs of smoke or fire were present the CSOs reset the alarm panel and cleared from the call."
"230063","2023 02 14","0748","Medical Assist - Other","Residence Hall",1676360880,"Notes: CSOs responded to a possible medical emergency in a residence hall. There they met with a student with a known medical condition. After a short conversation with, and assessment of, the student, CSOs recommended that the student be seen for further medical care. The student agreed and arranged a ride to a nearby medical facility for further care."
"230064","2023 02 14","1219","Theft - Bike","Naito Hall",1676377140,"Notes: A student contacted the Community Safety Dispatcher to notify them that their bike had been stolen from the bike rack outside of Naito Hall where it had been secured. The Dispatcher recommended the student also file a police report."
"230065","2023 02 14","1727","Temporary Exclusion","Campus",1676395620,"Notes: The director issued a temporary exclusion to a Reed alum based on continuing circumstances discussed in a prior report."
"230066","2023 02 14","1746","Suspicious Person/Activity/Circumstances","Grove Lot",1676396760,"Notes: A CSO on patrol in the Grove Lot encountered an individual looking through the recycling and garbage bins. Because the CSO had previously encountered the same individual doing the same thing on prior occasions, the CSO formally excluded the individual and escorted them off of campus."
"230068","2023 02 16","0019","Medical Assist - Other ","Residence Hall",1676506740,"Notes: CSOs responded to a request for medical assistance in a residence hall. They met with a student who had taken medications with possible contraindications. After discussing options with the student, the student opted to have emergency medical technicians respond for an evaluation. American Medical Response was contacted and the student was evaluated by emergency medical technicians. The technicians concluded that the symptoms the student was experiencing were not life-threatening and would resolve themselves over time. The student felt comfortable with this information and the CSOs cleared from the call."
"230069","2023 02 16","1411","Theft - Bike","Scholz Residence Hall",1676556660,"Notes: A CSO responded to a report of bike theft from Scholz residence hall. The CSO met with the bike owner who stated that they believed the bike had possibly been stolen during winter break. The bike had been secured with a bike lock, which the student found cut and lying on the floor. The CSO sympathized with the student and recommended they also file a police report."
"230071","2023 02 17","1505","Suspicious Person/Activity/Circumstances","West Lot",1676646300,"Notes: A CSO on foot patrol in the East Lot encountered a vehicle driving slowly up and down the rows of parking spaces. Having observed that the vehicle passed multiple available parking spaces, the CSO continued to observe the vehicle. The vehicle exited the lot and proceeded west on Woodstock Blvd. The CSO proceeded to the West Lot where they again encountered the same vehicle, driving slowly through the lot. The vehicle then left the lot and headed north on 28th Avenue. The CSO drove the CS vehicle through the middle of campus to the North lot, where, their suspicions confirmed, they again saw the vehicle driving through the lot. The vehicle had been parked and the driver was walking a small dog along the sidewalk. When another CSO intercepted the individual walking the dog, the individual stated that they had been waiting to pick up their sister and then became defensive when asked further questions. All CSOs have been advised of the vehicle and driver description in case they are seen on campus again."
"230072","2023 02 18","0256","Medical Assist - Alcohol","Residence Hall",1676688960,"Notes: A CSO responded to a request for assistance in a residence hall where it was reported that a student possibly required medical intervention. The CSO met with the student whom the report was regarding, and the student was coherent and did not exhibit signs of alcohol or other drug overdose. The CSO did provide the student with an escort back to their room and then cleared from the call."
"230073","2023 02 18","0635","Accident","Library",1676702100,"Notes: A CSO on vehicle patrol near the library accidentally hit a landscapng rock while maneuvering the vehicle through campus. Minor damage was caused to the bumper of the vehicle."
"230074","2023 02 18","1233","Theft - Bike","Scholz",1676723580,"Notes: A CSO responded to a report of bike theft from the Scholz residence hall.  The CSO met with a student who reported that they had last seen their bike on the eleventh, secured in the bike storage room in Scholz, and the morning of the report they found their bike lock cut and lying in the floor and the bike was missing. The CSO sympathized with the student and also recommended they file a report with the Portland Police Bureau."
"230075","2023 02 18","2321","Unattended Alcohol or Drugs","Student Union",1676762460,"Notes: A CSO responding to a noise complaint in the vicinity of the Student Union encountered unattended alcohol in the record storage room of the Student Union, where there was evidence of a gathering. The CSO disposed of the alcohol and continued on with their patrol priorities. "
"230050","2023 02 07","1305","Theft - Bike/Burglary/Clery Act Reportable Incident","Reed College Apartments",1675775100,"Notes: A CSO responded to a report of bike theft from a Reed College apartment. The CSO met with the bike owner and their housemate. The housemate stated that they had first noticed the bike was missing from inside the apartment, but assumed the owner had taken it out. When the bike owner returned home, they confirmed that they had not taken the bike anywhere. Both residents agreed that the unit had been locked during the time the bike went missing and no one else had permission to enter the apartment. The residents were unsure if the deadbolt had been secured and no visible signs of forced entry were observed."
"230051","2023 02 07","1846","Medical Transport - Other","Residence Hall",1675795560,"Notes: A CSO responded to a request for medical assistance at a residence hall. The CSO met with the residents, one of whom was experiencing a medical emergency and had already requested American Medical Response for transport. The CSO remained with the student until paramedics arrived and transported the student to a nearby medical facility for further care."
"230052","2023 02 10","1018","Evidence of Drug Use","Foster Residence Hall",1676024280,"Notes: A CSO on patrol in Foster residence hall encountered the diffuse odor of cannabis. The CSO was unable to locate the odor to a specific source."
"230053","2023 02 10","1039","Information Only","Eliot Circle",1676025540,"Notes: CSOs responded to a verbal altercation taking place in Eliot Circle. Upon arrival, the CSOs met with two delivery drivers who had been involved in a minor accident on Woodstock Blvd and had pulled off onto Eliot Drive to discuss the particulars. The drivers disagreed on the details of the accident, and had begun shouting at each other. One of the CSOs resumed their patrol priorities, while the other CSO remained on the scene to ensure the conflict was resolved peacefully."
"230054","2023 02 10","1103","Suspicious Person/Activity/Circumstances","GCC/Bookstore",1676026980,"Notes: A CSO responded to a report of an unknown individual potentially experiencing a mental health crisis in the bookstore. While en route to the bookstore, the CSO was notified that the individual had moved to the Great Lawn and was hiding underneath a tree. The CSO met with the reporting party not far from where the individual now was, and the reporting party provided the details as to why they were concerned for the individual. The CSO engaged with the individual, who was lying underneath a tree, and before the CSO was able to ascertain the individual’s situation, the individual apologized for being on campus and proceeded to head southward, off of campus. No further action was taken."
"230055","2023 02 10","1602","Damage to Property","Lower North Lot",1676044920,"Notes: A CSO responded to a report of a damaged vehicle in the Lower North Lot. The CSO met with the vehicle owner, a student, who reported that one of their vehicle tires had been slashed upwards of 20 times. The student did not have any idea who would have cause to damage the vehicle tire. The student had called AAA for assistance and the CSO also recommended that they file a police report."
"230056","2023 02 10","2156","Medical Assist - Other","Residence Hall",1676066160,"Notes: CSOs responded to a request for medical assistance at a residence hall. Upon arrival, they met with the reporting party who was concerned for their friend who was feeling unwell. After an evaluation and a recommendation from the On-Call area coordinator, paramedics were contacted to request a more thorough assessment. Ultimately, the student in distress declined medical transport, and the CSOs cleared from the call after the student showed signs of improvement."
"230057","2023 02 11","0854","Theft of Vehicle/Clery Act Reportable Incident","28 West",1676105640,"Notes: A student arrived at 28 West to report that their vehicle had been stolen from the lot behind 28 West. This vehicle had been involved in multiple prior reports regarding damage and attempted theft. The CSO sympathized with the vehicle owner and recommended they also file a report with the Portland Police Department. "
"230059","2023 02 11","1932","Exclusion","Student Union",1676143920,"Notes: CSOs responded to a report of an unknown individual smoking cigarettes in the Student Union. Upon arrival, the CSOs encountered a previously excluded individual smoking cigarettes in the north loft. The CSOs escorted the individual off campus without incident."
"230060","2023 02 12","1237","Theft from Vehicle","West Lot",1676205420,"Notes: A student arrived at 28 West to report that two days prior, while their vehicle had been parked in the West Lot, the vehicle rear door window had been smashed, and the surrounding door frame had been damaged, in a break-in. The student reported that nothing of significant value had been stolen."
"230041","2023 01 30","1652","No Contact Order","Campus",1675097520,"Notes: A No Contact Order was put in place at the request of the Title IX Coordinator."
"230042","2023 01 31","1732","Suspicious Person/Activity/Circumstances","Canyon",1675186320,"Notes: A CSO on patrol encountered a known houseless individual carrying a bag of cans through campus. The CSO reminded the individual that looking through garbage on campus is not allowed and the individual began walking northward toward the Steele Street campus perimeter. As the individual did so, they let go of their dog’s leash, allowing it to wander freely. When the CSO reminded the individual of the campus leash policy, the individual ignored the CSO, so the CSO verbally excluded the individual at that time. The CSO continued to escort the individual until they had exited campus."
"230043","2023 01 31 ","1704","Medical Assist - Other","Sports Center",1675184640,"Notes: A CSO responded to a request for medical assistance at the Sports Center. Upon arrival, the CSO met with a Reed staff member who was assisting a Reed student who had sustained an injury. First aid had already been administered and the CSO requested that Dispatch contact American Medical Response for transport to a nearby medical facility for further care of the injury. The CSO cleared from the call once the student had been transported."
"230044","2023 02 01","0347","Damage to Property","West Lot",1675223220,"Notes: A CSO on patrol in the West Lot encountered a vehicle with a smashed window. The CSO did not notice any other signs of tampering or theft. The vehicle was registered with Community Safety so Dispatch was able to send an email to the owner advising them of the damage."
"230046","2023 02 03","2147","Unattended Alcohol or Drugs","McKinley Residence Hall",1675460820,"Notes: A CSO on patrol observed a large bottle of alcohol sitting unattended on the kitchen table in McKinley residence hall. When the CSO asked nearby residents if they knew whose it was, no one did. Because the bottle was unattended and the owner was not found, the CSO disposed of the alcohol."
"230047","2023 02 04","0034","Damage to Property/Fire","Reed College Apartments",1675470840,"Notes: A CSO responded to a fire alarm in a Reed College apartment. Upon arrival, the CSO met with the residents of the unit, who relayed that they had burned some popcorn but had successfully extinguished the fire. The CSO observed a bit of burnt ash where a small fire had been and a few scorch marks on the floor from the fire, but no other damage. The CSO reset the fire alarm panel and wished the students a better rest of their evening."
"230048","2023 02 05","2218","Theft from Vehicle","Reed College Apartments",1675635480,"Notes: A CSO responded to a report of theft from a vehicle that was parked in the Reed College apartments parking lot. The CSO met with the owner of the vehicle, a student, who stated that they had believed their vehicle was securely locked when two backpacks had been stolen from the vehicle’s trunk. The student continued that upon closer inspection, they observed that a rear door locking mechanism had failed and the door had remained unlocked, which the student surmised, was how the unknown individual accessed the vehicle with no signs of damage. The backpacks contained an iPad and MacBook. The CSO recommended the student file a claim with their insurance company and a theft report with the Portland Police."
"230029","2023 01 23","0656","Suspicious Person/Activity/Circumstances/Exclusion","Medical Office North",1674456960,"Notes: A CSO on patrol of the Medical Offices encountered an individual camping outside one of the entrances to the building. The individual declined to respond or move elsewhere to sleep after multiple requests from the CSO. The CSO then requested Portland Police assistance. A second CSO arrived, and approximately 30 minutes later, the individual got up. The first CSO then recognized the individual as someone who had been escorted off campus in prior interactions. The CSO formally excluded the individual and escorted them off of Reed property."
"230030","2023 01 23","0835","Theft of Motor Vehicle/Clery Act Reportable Incident","Grove Lot",1674462900,"Notes: A student reported that their vehicle had been stolen from where it was parked in the Grove lot. The student was already in contact with Portland Police to report the theft."
"230031","2023 01 23","1049","Theft - Other","Trillium",1674470940,"Notes: A CSO responded to a report of theft from Trillium residence hall. The CSO met with a student who stated that their box drum had been stolen while it had been left in the print room over winter break. The CSO advised the student to file a police report, but to also entertain the assumption that it may have been taken by another student who didn’t realize it was a specific person’s personal property and to put up some flyers requesting the return of their drum."
"230032","2023 01 24","0255","Damage to Property","Grove Lot",1674528900,"Notes: CSOs on vehicle patrol in the Grove Lot encountered a black BMW sedan parked and running near the gravel road on the north side of the lot. The sedan drove out of the parking lot quickly after being passed by the CS vehicle. The CSOs then inspected the immediate area and found that a vehicle parked in the lot had been the subject of an attempted break-in. On the ground they found a drill bit that had been used to drill out the keyhole in the driver side lock, along with a piece of the lock that had been removed. The vehicle is registered with Community Safety so the owner was able to be contacted regarding the damage."
"230034","2023 01 26","0024","Suspicious Person/Activity/Circumstances","Student Union",1674692640,"Notes: CSOs conducting a lock up of the Student Union encountered an unknown individual sleeping on a sofa inside the building. When the CSOs asked if the person was a current student, they replied that they were an alum. When the CSOs requested the person verify their identity, the individual that they would just leave. The CSOs advised the individual that unless they had a community member escort or proof that they were an alum, they would be unable to continue sleeping on campus and would have to leave. The individual exited the building and the CSOs followed them to ensure they left campus. "
"230035","2023 01 26","0516","Suspicious Person/Activity/Circumstances","West Lot",1674710160,"Notes: A CSO on patrol in the West lot encountered a vehicle parked near the dumpsters with its trunk open. This vehicle appeared to be the same vehicle that, two days prior, had been parked with its trunk open near the dumpsters in the Grove lot. In the first encounter, when asked what their business was at Reed, the driver and a second vehicle occupant gave conflicting answers and left quickly after. The CSO was unable to make contact with the vehicle driver or occupant in the second encounter. In both instances, when CSOs inspected the immediate area nothing suspicious was observed."
"230036","2023 01 27","0251","Evidence of Drug Use","GCC/Pool Hall",1674787860,"Notes: CSOs encountered the odor of cannabis while patrolling the lower level of the GCC. After a short search of the vicinity, the CSOs determined that the source of the odor was the remaining portion of a burnt cannabis joint located in an ashtray in the Pool Hall manager’s office."
"230037","2023 01 27","1140","Suspicious Person/Activity/Circumstances","GCC/Bookstore",1674819600,"Notes: CSOs responded to a report of possible theft from the bookstore. After speaking with a bookstore employee, the CSOs searched the area in an attempt to locate the individual described by the bookstore employee. The CSOs located the individual inside the Student Union. It became apparent that the individual was experiencing a mental health crisis but was cooperative when asked to leave campus. The CSOs did not issue a formal exclusion as they did not believe it would have been comprehended meaningfully by the individual."
"230039","2023 01 28","0352","Damage to Property","Grove Lot",1674877920,"Notes: A CSO on vehicle patrol in the Grove lot encountered an all black Hyundai Elantra with a “Tonkin” plate and no temporary tags parked but running in the middle of the driveway of the lot. When the CSO attempted to make contact with the vehicle driver, an unknown individual entered the vehicle and drove out of the lot. Still in the CS Vehicle, the CSO followed the vehicle out of the lot. The CSO then turned left onto 28th Avenue. The CSO then observed that the vehicle that had left the lot executed a U-turn in the road, turned their headlights off, then accelerated quickly coming up behind the CS vehicle. The CSO prepared to turn left into the 28 West parking lot. As they did so, the other vehicle continued to accelerate and, according to the observations of another CSO, came extremely close to hitting the CS vehicle. The CSO then returned to the parking lot to investigate the area at which the vehicle had originally been parked. There, the CSO observed that the same vehicle that had been damaged in a prior attempted break-in, report #230032, again showed evidence that an attempt had been made to drill the lock out of the driver side door. "
"230040","2023 01 29","0135","Medical Assist - Alcohol","Residence Hall",1674956100,"Notes: CSOs responded to a request for medical assistance in a residence hall. They met with the reporting party who expressed concern for their friend who had consumed multiple alcoholic drinks and had become sick. The CSOs made contact with the intoxicated student, who confirmed that they had felt sick but that they did not require any medical intervention. The CSOs remained on scene for a little while to evaluate the student for any signs of alcohol or other drug overdose. After confirming that the student was feeling better and had friends that they would be staying with, the CSOs cleared from the call.  "
"230016","2023 01 16","0222","Student Concern","Residence Hall",1673835720,"Notes: CSOs responded to a report of concerning noises emanating from a student’s residence. The CSOs made contact with the occupant, and after a brief discussion determined that no further action was warranted and wished the student a good evening."
"230017","2023 01 16","1101","Theft - Bike","Woodbridge",1673866860,"Notes: A CSO responded to a report of a stolen bike. The CSO met with a student who stated that before the winter break they had left their bike secured to the bottom of the stairwell (in/outside of) Woodbridge residence hall. Another student had done the same. Upon returning after the break, it was discovered that both bikes were missing. The CSO confirmed that Community Safety had not confiscated any bikes."
"230019","2023 01 17","1837","Unauthorized Entry","Birchwood Apartments",1673980620,"Notes: A CSO responded to a report of a break-in at a Birchwood apartment. The CSO met with the student occupant who reported that when they returned from the winter break, they observed signs that their residence had been entered and used by an unknown individual. The student reported that nothing appeared to be missing. The student confirmed that the residence had been fully secured before leaving for the break and a thorough inspection did not produce any signs of forced entry."
"230020","2023 01 19","0728","Suspicious Person/Activity/Circumstances","Birchwood Apartments",1674113280,"Notes: A CSO on patrol of the Birchwood apartments encountered an individual pulling on the door knobs of the Birchwood apartments. When the CSO requested the individual stop their actions and speak with them, the individual began yelling at the CSO and pointed a metal pipe in a threatening manner toward the CSO. The CSO advised the individual to drop the pipe and leave the property. The individual dropped the pipe but replied that they would not be listening to the CSO because the CSO wasn’t a “cop.” The individual then walked across 28th Ave and began pulling on doors of the Medical Offices. When they failed to gain entry, the individual then walked to the nearby dumpsters, climbed into one, and began looking through it. When the CSO requested the individual stop their activity, the individual again replied that they weren’t going to listen to the CSO. The CSO then requested Dispatch contact Portland Police for assistance. The individual then climbed out of the dumpster and headed toward the 28 West building. They entered the building and began taking candy from the candy bowl at the Dispatch desk. The individual then left the building at the prompting from both the Dispatcher and the CSO. Another CSO arrived, and together, both CSOs followed the individual until they were off of Reed property."
"230021","2023 01 19","1148","Damage to Property","East Lot",1674128880,"Notes: A CSO on patrol in the East Lot observed an individual running to, and quickly entering, a white compact vehicle which then left the parking lot at a high rate of speed. The CSO was unable to gather the license plate information from the vehicle, so they returned to the area where they had first seen the individual. There, they observed that a silver Honda Civic parked in the lot had its passenger side window shattered. Dispatch has been unable to contact the owner of that vehicle."
"230022","2023 01 21","2025","Unauthorized Entry","Birchwood Apartments",1674332700,"Notes: A CSO responded to a report of unauthorized entry into a Birchwood apartment. The CSO met with a student who, upon returning from winter break, observed that multiple items in the unit had been moved and or used. The student reported that nothing had been taken, and the unit had been locked and deadbolted and the windows secured when they returned to the unit."
"230023","2023 01 21","2237","Medical Amnesty/Medical Assist - Alcohol","Amphitheater",1674340620,"Notes: CSOs responded to a request for medical assistance at the amphitheater. Upon arrival, they met with two Night Owls who reported that a student was sick after consuming alcohol. The CSOs evaluated the intoxicated student, and asked the student if they would like to request an evaluation form an Emergency Medical Technician (EMT). The student declined. After a conversation with the student, it was determined that the student would recover without medical intervention. The CSOs escorted the student, and a few of the student's friends, to the student’s residence, where the student’s friends stated they would remain with the student until they were recovered."
"230024","2023 01 22","1313","Theft from Vehicle","West Lot",1674393180,"Notes: A CSO responded to a request for vehicle assistance in the West Lot. The CSO met with a student who requested assistance jump starting their vehicle. While assisting the student, the student reported that their vehicle’s license plate had been stolen while it had remained parked in the lot over the winter break. The CSO relayed that they would file a report and also recommended that the student report the theft to the Portland Police Bureau."
"230025","2023 01 22","1318","Damage to Property","West Lot",1674393480,"Notes: A CSO on patrol in the West Lot encountered a vehicle with both rear windows shattered. Upon inspection, it appeared that the vehicle had been burglarized. The owner of the vehicle made contact with Community Safety approximately one hour later, and confirmed that multiple items had been removed from the vehicle."
"230026","2023 01 22","1842","Theft from Vehicle","Grove Lot",1674412920,"Notes: A CSO responded to a report of stolen license plates from a vehicle. The vehicle owner, a student, reported that both plates had been removed. The CSO encouraged the student to also file a report with the Portland Police Bureau."
"230027","2023 01 22","2350","Welfare Check","Residence Hall",1674431400,"Notes: CSOs responded to a request for a welfare check on a student who had consumed an unknown amount of drugs and alcohol. The CSOs met with the concerned party who stated that they had been with the student, but after briefly leaving the student’s residence, returned to find the door had been locked. The reporting party became concerned for the student’s welfare due to them being unresponsive to the reporting party’s knocking to re-enter the residence. The CSOs contacted the appropriate parties to advise further action, and during this time, the reporting party left to go to their own residence. Eventually, without ever gaining access to the residence, the CSOs were able to confirm that the student in question was not in need of any medical intervention and cleared from the call. "
"230011","2023 01 09","2252","Damage to Property","West Lot",1673304720,"Notes: A CSO on patrol in the West Lot encountered a vehicle with a shattered driver side window. Nothing inside the vehicle appeared to have been disturbed. The CSO taped over the window to protect the vehicle's interior from the weather."
